latitude,longitude,GG
27.18892911,84.90302946,0
27.55433329,84.19913063,0
27.17105087,86.00132474,0
27.40834755,85.09163423,0
27.11743291,85.22940471,0
27.41119193,84.78702957,0
27.34739141,85.25364064,0
27.55348222,85.39099307,0
27.1969092,86.32033279,0
27.40709005,85.4971619,0
27.2992057,85.4786204,0
27.14367404,86.02052492,0
27.4274523,85.61552684,0
27.28371794,85.49045628,0
27.32879562,85.16320874,0
27.19299263,85.93124241,0
27.476462,85.09150438,0
27.22105734,84.82145702,0
27.51314769,85.19455428,0
27.53246797,84.2507965,0
27.70873877,84.52370559,0
27.33205704,85.88176455,0
27.78371597,84.7201948,0
27.48848281,85.25979125,0
27.43679254,85.46692595,0
27.70898657,84.70450207,0
27.63988853,85.25809903,0
27.16264232,85.41693255,0
27.66631261,84.94314295,0
27.63943424,85.45247661,0
27.53841102,85.45860883,0
27.57193738,85.42147072,0
27.44625341,85.23244679,0
27.40874915,85.43115139,0
27.71668454,85.16476371,0
27.3724619,85.55888746,0
27.29337692,85.22613558,0
27.39820387,84.31856514,0
27.2358387,85.50771629,0
27.26148883,85.78913245,0
27.4425342,84.52716477,0
27.37638641,84.80958248,0
27.55536307,85.52757432,0
27.74549433,84.48776394,0
27.51156642,84.43891395,0
27.62746591,85.15420721,0
27.59779478,84.43924027,0
27.50505742,85.21417348,0
27.38421885,85.75128283,0
27.75833218,84.80623027,0
27.27768517,84.97991455,0
27.24012821,84.93352206,0
27.52194363,85.17238191,0
27.43454718,85.6040403,0
27.19520377,86.06499992,0
27.17367012,85.96863251,0
27.75930207,84.48756047,0
27.42346492,84.60899815,0
27.22231997,84.85874468,0
27.57721515,85.57844337,0
27.49294998,85.31375836,0
27.41174566,84.48614543,0
27.57907132,85.32478701,0
27.34202954,84.7062824,0
27.43912853,84.779621,0
27.11325115,86.27680259,0
27.40713167,85.74145948,0
27.33634864,84.94132022,0
27.27176507,85.8219876,0
27.2317045,85.25998216,0
27.62054669,84.65103319,0
27.54245237,84.87907188,0
27.41447539,84.64523362,0
27.3993484,85.29563862,0
27.51030564,84.78402809,0
27.15012318,85.98305344,0
27.49843091,84.49101627,0
27.25655839,84.95662584,0
27.40358171,85.37197861,0
27.26344938,84.91042691,0
27.35742197,85.54393936,0
27.33722362,85.66124629,0
27.5889677,84.89894878,0
27.47134403,84.41593638,0
27.42134251,84.72171196,0
27.70213156,84.85369355,0
27.51954407,83.99185602,0
27.36196961,84.76262903,0
27.72720199,84.51488004,0
27.34794377,84.81991546,0
27.6169109,85.01867641,0
27.61617317,85.36916689,0
27.6242807,85.22319019,0
27.27804361,85.32730848,0
27.39307514,85.23140465,0
27.08007698,86.36443554,0
