longitude,latitude,acq_date,DEM,fire,lst,prcp,7dayprecip,at
81.5392,28.4691,2019-03-16,446.3116149902344,0,24.450000000000045,0.0,0.0,20.194879150390648
84.9189,27.2715,2019-03-20,284.6408996582031,0,27.730000000000015,0.0,0.0,20.619836425781276
84.3992,27.552,2019-04-11,177.7244873046875,0,,0.0,35.88132190704346,22.968530273437523
84.5191,27.5328,2019-03-29,196.47039794921875,0,28.350000000000023,0.0,5.034952878952026,22.031304931640648
82.1544,28.3458,2019-01-10,1472.56787109375,0,16.110000000000014,0.0,0.0,10.052850341796898
82.8061,27.9133,2019-06-01,419.7135009765625,0,37.89000000000004,12.23683738708496,0.0,26.071588134765648
80.4394,29.0802,2019-05-26,767.7028198242188,0,35.13000000000005,0.0,0.0,23.880761718750023
81.9114,28.1378,2019-03-28,287.7494201660156,0,27.79000000000002,0.0,5.134867191314697,22.068383789062523
80.7806,28.8468,2019-02-10,806.7554931640625,0,13.77000000000004,0.0,39.1353874206543,10.101098632812525
81.5392,28.4691,2019-05-19,446.3116149902344,1,31.430000000000007,5.348760604858398,0.0,27.244165039062523
82.0489,28.4367,2019-03-11,1130.6673583984375,0,21.090000000000032,0.0,0.0,15.537652587890648
81.0291,28.7391,2019-05-19,239.13233947753903,0,,5.16720724105835,0.0,27.336785888671898
82.2329,27.9731,2019-06-11,286.6182861328125,0,,0.0,37.49457931518555,33.21013793945315
84.8404,27.2573,2019-06-06,185.5447998046875,0,,0.0,26.480335235595703,28.881158447265648
80.7796,29.3127,2019-06-21,780.0928344726562,1,35.150000000000034,0.0,0.0,19.282373046875023
81.863,28.2275,2019-03-29,984.7969360351562,0,26.07000000000005,0.0,11.750237464904783,23.58382568359372
84.8319,27.2679,2019-04-25,210.0,0,33.09000000000003,4.206675052642822,1.044387385249138,26.875512695312523
81.409,28.4598,2019-04-21,378.679443359375,0,33.23000000000002,0.0,0.0,26.2568298339844
81.8359,28.5216,2019-01-01,1417.7802734375,0,17.27000000000004,0.0,5.586219787597656,8.693719482421898
80.4411,28.774,2019-06-06,196.5758056640625,0,,0.0,21.81814384460449,30.957208251953148
82.2339,28.2669,2019-01-29,1049.2177734375,0,11.730000000000018,0.0,25.803446769714355,8.963769531250023
81.9226,27.9675,2019-04-27,198.2322235107422,1,36.89000000000004,0.0,1.270843760110438,32.17913208007815
82.0347,28.5842,2019-06-14,1379.232177734375,0,38.51000000000005,0.0,13.684700071811676,22.574670410156276
81.1337,28.8108,2019-05-27,688.3077392578125,0,41.27000000000004,0.0,4.184381008148193,24.1608825683594
80.7888,28.7041,2019-05-07,178.31044006347656,1,40.63000000000005,0.0,0.0,28.251550292968773
82.5356,27.9497,2019-01-20,774.5255737304688,0,18.730000000000015,0.0,3.191527247428894,12.655023193359398
82.5983,27.9629,2019-05-07,757.7020874023438,1,40.190000000000055,0.0,0.0,26.364312744140648
82.734,27.6943,2019-03-25,149.16384887695312,0,29.33000000000004,0.0,0.0,22.826043701171898
80.5248,29.146,2019-03-11,705.4092407226562,0,21.05000000000001,0.0,0.0,15.564874267578148
80.8831,28.5489,2019-01-29,160.27218627929688,0,17.510000000000048,0.0,24.179431915283203,11.666955566406273
82.7137,27.7293,2019-03-30,396.037353515625,0,,0.0,11.117540836334229,25.421014404296898
80.5481,28.9094,2019-02-16,404.1134643554688,0,19.090000000000032,0.0,33.55564022064209,14.383935546875025
82.1091,28.3223,2019-05-09,1563.265869140625,1,36.21000000000004,0.0,0.0,25.200311279296898
80.2114,28.8979,2019-01-13,194.5061950683593,0,19.410000000000025,0.0,0.0,13.839471435546898
81.3125,28.7233,2019-04-30,664.0772705078125,1,35.85000000000002,0.0,3.1244977256283164,27.888726806640648
85.635,27.3076,2019-05-06,506.6785888671875,0,33.610000000000014,0.0,8.696391105651855,22.861230468750023
80.6719,29.0545,2019-05-13,1395.918212890625,0,30.33000000000004,0.0,5.657483100891113,23.962915039062523
81.4747,28.3953,2019-02-20,499.4818115234375,0,21.170000000000016,0.0,23.61197233200073,17.572747802734398
82.7364,27.8992,2019-03-23,700.3826293945312,0,26.890000000000043,0.0,0.0,20.376885986328148
81.5422,28.316,2019-04-09,200.23321533203125,0,32.05000000000001,1.8350151777267456,7.806304812431335,22.6686950683594
85.6372,27.3863,2019-06-01,706.06396484375,0,25.450000000000045,0.0,36.52506637573242,22.062066650390648
81.5363,28.4747,2019-06-11,639.0833740234375,0,31.05000000000001,0.0,48.459693908691406,31.342370605468773
87.2733,26.7806,2019-03-24,251.2078094482422,0,28.21000000000004,0.0,0.0,19.170526123046898
80.5044,29.2766,2019-05-15,1530.4368896484375,1,,8.577811241149902,15.148937702178957,20.309991455078148
87.9522,26.4637,2019-04-03,77.78257751464844,0,25.31,9.738799095153809,25.04475784301757,25.707818603515648
82.285,28.3252,2019-05-17,1489.317626953125,0,30.590000000000032,0.0,0.0,22.397332763671898
84.9414,27.3202,2019-03-20,497.858154296875,1,26.870000000000005,0.0,0.0,20.619836425781276
81.5457,28.4569,2019-04-24,473.9813537597656,0,,0.4010080397129059,0.2955320701003074,26.194451904296898
81.8988,28.12,2019-04-27,246.03421020507807,1,35.690000000000055,0.0,1.789122013375163,29.816766357421898
84.4563,27.556,2019-01-10,180.06875610351562,1,20.83000000000004,0.0,0.0,13.958245849609398
80.5164,29.1591,2019-06-08,770.5108032226562,1,33.690000000000055,0.0,49.298845291137695,23.854577636718773
80.162,28.865,2019-04-05,192.04498291015625,1,32.77000000000004,0.0,0.0,25.789361572265648
