longitude,latitude,forest_loss_prediction
80.469,28.7751,0
81.8494,28.6292,0
81.1822,28.9969,0
84.3418,27.5571,0
81.5718,28.5311,0
80.7707,28.9539,1
81.2946,28.5389,1
80.6227,28.9373,0
82.0111,28.0722,0
81.4016,28.4771,0
81.6591,28.5585,0
83.8027,27.6211,0
86.112,27.2283,0
81.9825,28.6553,0
80.1867,29.0572,0
82.2608,28.2627,0
86.0991,27.2546,1
82.8946,28.012,0
82.0117,28.0912,0
82.8268,27.7426,1
85.7126,27.6137,0
82.0738,28.361,0
81.8162,28.0337,0
84.9568,27.2618,1
84.0369,27.5286,0
81.5568,28.5941,1
82.9132,27.9179,0
80.1745,28.8965,0
81.9339,28.4931,1
85.7363,27.071,1
82.8076,27.8389,0
81.0734,28.8218,0
80.2993,29.2036,0
80.8464,28.5969,0
81.3187,28.6778,1
81.3282,28.6074,0
81.9027,28.1332,1
84.1375,27.5339,1
82.0488,28.1822,0
80.3323,28.7562,0
81.4401,28.5078,0
85.3042,27.1096,1
81.4609,28.7358,1
82.1821,28.0051,1
81.4108,28.9003,0
82.1197,28.3181,0
81.7282,28.2761,0
83.894,27.602,0
82.0512,28.0938,0
83.1412,28.3162,1
81.4747,28.3953,0
80.4159,29.0952,0
81.1126,28.8596,0
82.7322,27.8988,0
80.8734,29.0304,1
81.4478,28.8891,0
84.5477,27.4044,0
82.9222,28.0039,0
82.8177,28.093,0
82.1928,28.3449,0
82.2366,28.007,0
82.568,27.8894,0
81.8833,28.1118,1
81.8138,28.3304,0
80.5612,29.3677,0
87.9641,26.4816,1
81.4356,28.2601,0
82.3226,27.8563,0
81.0627,28.9149,1
83.0963,28.1711,0
81.835,28.1497,0
80.9971,28.9324,0
81.8476,28.1417,0
80.6829,28.8578,0
80.4557,29.1008,0
85.0746,27.2116,0
82.0873,28.2712,0
80.8772,28.5946,0
82.2829,28.3799,1
81.2673,28.5022,0
82.1814,28.0184,0
81.0703,28.9604,1
82.89,27.6876,0
81.4404,28.3927,0
80.6658,28.943,0
81.4582,28.4771,0
81.935,28.4674,0
82.8076,27.8389,0
82.8756,27.7117,1
83.9958,27.5236,0
81.5952,28.4611,1
80.4282,29.1105,1
82.1102,28.0343,1
87.3497,27.1979,0
81.9386,28.1341,0
80.7009,28.6729,0
85.7605,27.4498,0
81.6294,29.1643,0
81.2522,28.505,0
83.0107,28.1335,1
81.2986,28.7415,0
80.658,28.9265,1
82.6938,27.726,0
80.3142,29.1083,0
83.1135,28.1366,0
81.2364,28.7063,0
81.8476,28.6364,0
80.5202,29.2795,0
81.7609,28.687,1
82.1814,28.0184,0
81.225,28.6018,1
80.6227,28.9373,0
80.2699,29.1191,1
82.2819,28.3161,0
82.6824,27.9159,0
84.5354,27.4119,0
80.5044,29.2766,0
82.5389,27.9374,0
82.0783,28.1842,1
83.0533,28.033,0
80.4798,28.9777,0
81.3902,29.0049,0
80.8202,29.3236,0
81.7228,28.2736,0
81.8693,28.3033,0
82.0601,28.0649,0
80.5481,28.9094,0
81.1949,28.8213,1
80.5121,28.9863,0
81.2987,28.6118,0
80.3865,29.0235,1
81.3764,28.5811,0
81.8565,27.974,0
83.235,27.6806,0
80.9581,28.5153,0
82.8737,27.9249,0
80.4798,28.9777,1
84.5459,27.4136,0
